id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
BR_IBAMA_TERMO_EMBARGO_ITENS	COLLISION	0	0	48776	48591	48591	48776	104.2	185 of 48776 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
us-state-press	EMITS_NOTHING	1	-1	0	0	0	-1	2.1	no records reached intel_items
us-dhs-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.6	no records reached intel_items
us-ftc-press	EMITS_NOTHING	1	-1	0	0	0	-1	2.1	no records reached intel_items
CL_SNIFA_UNIDADES	OK	0	0	22351	22351	22351	22351	87.0	
eeas-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.7	no records reached intel_items
enisa-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.6	no records reached intel_items
frontex-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.6	no records reached intel_items
europarl-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.4	no records reached intel_items
IT_FVG_MOBILE_SITES	OK	0	0	6120	6120	6120	6120	24.1	
osce-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.6	no records reached intel_items
unhcr-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
wfp-news	EMITS_NOTHING	1	-1	0	0	0	-1	2.1	no records reached intel_items
iom-news	EMITS_NOTHING	1	-1	0	0	0	-1	2.1	no records reached intel_items
unodc-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.7	no records reached intel_items
worldbank-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.6	no records reached intel_items
imf-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
interpol-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
cn-mofa	EMITS_NOTHING	0	0	0	0	0	-1	2.8	no records reached intel_items
in-pib	OK	0	0	20	20	20	-1	2.8	
GFZ_KP_INDEX	OK	0	0	34587	34587	34587	34587	64.8	
au-dfat	EMITS_NOTHING	1	-1	0	0	0	-1	2.3	no records reached intel_items
nato-opinions	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
ca-gov-news	OK	0	0	500	500	500	-1	3.3	
us-treasury-press	EMITS_NOTHING	1	-1	0	0	0	-1	26.1	no records reached intel_items
cisa-blog	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
fema-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.5	no records reached intel_items
epa-news	EMITS_NOTHING	1	-1	0	0	0	-1	1.7	no records reached intel_items
ntsb-news	EMITS_NOTHING	0	0	0	0	0	-1	1.9	no records reached intel_items
faa-news	EMITS_NOTHING	1	-1	0	0	0	-1	2.5	no records reached intel_items
noaa-swpc	EMITS_NOTHING	1	-1	0	0	0	-1	2.7	no records reached intel_items
DK_MASTEDB_ANTENNAS	COLLISION	0	0	69699	69659	69659	69699	121.0	40 of 69699 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
BR_PNCP_ATAS	SLOW	-1	0	-1	-1	3500	-1	220.1	hit --timeout 220.1s; 3500 rows already stored
