# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
LimeVPN	23.3k	2023-02-06	2020-10
Truth Finder	8.2M	2023-02-04	2019-04
Instant Checkmate	11.9M	2023-02-04	2019-04
School District 42	18.8k	2023-02-02	2023-01
Planet Ice	240.5k	2023-01-31	2023-01
KomplettFritid	139.4k	2023-01-23	2021-02
Autotrader	20k	2023-01-23	2023-01
Zurich	756.7k	2023-01-22	2023-01
DoorDash	367.5k	2023-01-07	2022-08
SlideTeam	1.5M	2023-01-07	2021-04
Twitter (200M)	211.5M	2023-01-05	2021-01
Deezer	229M	2023-01-02	2019-04
Benchmark	93.3k	2023-01-01	2019-11
Gemini	5.3M	2022-12-16	2022-12
CoinTracker	1.6M	2022-12-12	2022-12
Abandonia (2022)	919.8k	2022-12-07	2022-11
Not Acxiom	51.7M	2022-11-22	2020-06
Get Revenge On Your Ex	79.2k	2022-11-15	2022-09
GGCorp	2.4M	2022-11-08	2022-08
Lolzteam	398k	2022-11-06	2018-05
Doomworld	34.5k	2022-10-24	2022-10
E-Pal	108.9k	2022-10-24	2022-04
Wakanim	6.7M	2022-10-06	2022-08
Bhinneka	1.3M	2022-10-06	2020-01
TAP Air Portugal	6.1M	2022-09-23	2022-08
Brand New Tube	349.6k	2022-09-08	2022-08
Stripchat	10M	2022-08-31	2021-11
START	7.5M	2022-08-30	2021-06
Banorte	2.1M	2022-08-18	2014-08
SitePoint	1M	2022-08-17	2020-06
Shitexpress	23.8k	2022-08-16	2022-08
Twitter	6.7M	2022-08-13	2022-01
QuestionPro	22.2M	2022-08-05	2022-05
Tuned Global	985.6k	2022-08-03	2016-03
Mecho Download	437.9k	2022-08-02	2013-10
Battlefy	83.6k	2022-07-29	2016-01
Paytm	3.4M	2022-07-26	2020-08
Shadi.com	2M	2022-07-20	2016-07
PPCGeeks	492.5k	2022-07-18	2016-08
JukinMedia	314.3k	2022-07-17	2021-10
Famm	535.2k	2022-07-16	2020-10
Eskimi	1.2M	2022-07-16	2020-09
La Poste Mobile	533.9k	2022-07-14	2022-07
Mangatoon	23M	2022-07-06	2022-05
Capital Economics	263.8k	2022-07-04	2020-12
Bookchor	498.3k	2022-07-03	2021-01
Bourse des Vols	1.5M	2022-07-03	2021-01
DivX SubTitles	783.1k	2022-06-14	2010-01
CTARS	12.3k	2022-05-31	2021-05
Adecco	4.3M	2022-05-31	2021-01
MGM Resorts (2022 Update)	24.8M	2022-05-29	2019-07
Preen.Me	236.1k	2022-05-26	2020-05
Amart Furniture	108.9k	2022-05-25	2022-05
Wendy's	52.5k	2022-05-24	2018-03
SirHurt	90.7k	2022-05-24	2021-04
Fanpass	112.3k	2022-05-24	2022-04
Read Novel	22.4M	2022-05-16	2019-05
BlackBerry Fans	174.2k	2022-05-16	2022-05
OGUsers (2021 breach)	348.3k	2022-05-16	2021-04
Paragon Cheats	188.1k	2022-05-14	2021-05
PayHere	1.6M	2022-05-02	2022-03
Aimware	305.5k	2022-05-02	2019-04
Devil-Torrents.pl	63.5k	2022-05-01	2021-01
Avvo	4.1M	2022-04-15	2019-12
Travelio	471.4k	2022-04-08	2021-11
Royal Enfield	420.9k	2022-03-31	2019-01
ZAP-Hosting	746.7k	2022-03-19	2021-11
CDEK	19.2M	2022-03-17	2022-03
Robinhood	5M	2022-03-03	2021-11
MacGeneration	101k	2022-03-03	2022-01
NVIDIA	71.3k	2022-03-02	2022-02
GiveSendGo	90k	2022-02-15	2022-02
RedDoorz	5.9M	2022-01-28	2020-09
BTC-Alpha	362.4k	2022-01-27	2021-11
ShockGore	73.9k	2022-01-20	2020-08
Open Subtitles	6.8M	2022-01-19	2021-08
Upstox	111k	2022-01-19	2021-04
Carding Mafia (December 2021)	303.9k	2022-01-16	2021-12
Aditya Birla Fashion and Retail	5.5M	2022-01-15	2021-12
Guns.com	375.9k	2022-01-13	2021-01
Doxbin	370.8k	2022-01-08	2022-01
FlexBooker	3.8M	2022-01-06	2021-12
DatPiff	7.5M	2022-01-04	2021-08
RedLine Stealer	441.7k	2021-12-30	2021-12
Protemps	49.6k	2021-12-20	2021-10
Gravatar	114M	2021-12-05	2020-10
IDC Games	4M	2021-11-17	2021-03
Ducks Unlimited	1.3M	2021-11-16	2021-01
